,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,13087.0,13087.0,13087.0,13087.0,13087.0,13087.0
Q1_abundance,0.0,7.0,39.0,89.0,154.0,3754.0
Q1_incidence,0.0,7.0,40.0,90.0,156.0,3754.0
Q2_abundance,0.0,2.0,8.0,25.0,63.0,276.0
Q2_incidence,0.0,2.0,10.0,29.0,66.0,276.0
observed_species_count,24.0,137.0,346.0,605.0,922.0,4366.0
chao2_abundance,24.0,149.25,441.0625,763.42,1110.2222222222222,29895.920289855072
chao2_incidence,24.0,149.25,426.0,744.6551724137931,1106.3636363636365,29895.920289855072
D1_sample_abundance,12.889972059550132,36.85383914809286,55.16216874302373,77.04061001661437,102.85746426777153,215.53299501659114
D1_sample_incidence,18.251561386085687,53.87046187020634,83.83668878169817,118.53237427534921,155.68224290795257,215.53299501659114
D1_estimated_abundance,12.890537790947391,36.863051674841756,55.19940906219429,77.1386647109913,103.06660259418021,260.6981805409066
D1_estimated_incidence,18.252913156795472,53.88982113677267,83.91622484735835,118.7357735829793,156.09356272261974,260.6981805409066
D2_sample_abundance,8.853399520739302,18.8152269573626,23.899947074786155,29.79511305283642,36.50194504132133,11.046248081153468
D2_sample_incidence,15.399570719573186,36.44493313731825,51.60416456136033,74.81611979634857,91.01801999270468,11.046248081153468
D2_estimated_abundance,8.853664706213545,18.81644466996813,23.90203463167245,29.798605578637655,36.50743634520324,11.054734907485216
D2_estimated_incidence,15.399433575559804,36.44697749097379,51.611073838182094,74.83602527972312,91.05031703407273,11.053890196328535
completeness_abundance,1.0,0.9179229480737019,0.7844693212413206,0.7924864425873045,0.8304643714971978,0.14603999333921042
completeness_incidence,1.0,0.9179229480737019,0.812206572769953,0.8124565871729567,0.8333607230895644,0.14603999333921042
coverage_abundance,1.0,0.9999745720449216,0.9998512588139674,0.9996377468761247,0.9993475317712451,0.7131536778490954
coverage_incidence,1.0,0.9999598781713783,0.9997778023159023,0.9994962718474825,0.9991302631484491,0.7131536778490954
l90_abundance,0.0,0.0,490795.6269182064,319253.37347504863,152284.55426112574,190881.88511289403
l95_abundance,0.0,238773.49720232416,933794.6543538236,622378.7794725157,352241.034353043,252572.73509217467
l99_abundance,0.0,1014123.832752755,1962406.5421643625,1326214.1759321736,816525.6032332521,395814.452856548
l90_incidence,0.0,0.0,16491.56225635721,12768.195425826567,7896.78628500804,190867.3786803586
l95_incidence,0.0,11348.941284185164,34632.95683733203,26843.493038503897,18616.843042361957,252553.86132971162
l99_incidence,0.0,48206.67891096498,76755.97059533492,59525.32200928059,43508.04400604918,395785.4384680253
