,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,150370.0,150370.0,150370.0,150370.0,150370.0,150370.0
Q1_abundance,0.0,4.0,42.0,92.0,141.0,100.0
Q1_incidence,0.0,4.0,42.0,92.0,141.0,100.0
Q2_abundance,0.0,6.0,20.0,46.0,61.0,31.0
Q2_incidence,0.0,6.0,20.0,46.0,61.0,31.0
observed_species_count,11.0,78.0,211.0,342.0,437.0,231.0
chao2_abundance,11.0,79.33333333333333,255.1,434.0,599.9590163934427,392.2903225806451
chao2_incidence,11.0,79.33333333333333,255.1,434.0,599.9590163934427,392.2903225806451
D1_sample_abundance,6.242377274863138,10.916160122876654,11.285498277314488,10.371875428499298,9.819018759476318,5.5604389168735135
D1_sample_incidence,6.2252217832845576,10.903838537250722,11.265693807582123,10.354880077515181,9.804365616149022,5.5604389168735135
D1_estimated_abundance,6.242432868839515,10.916764066757374,11.288013465189595,10.376490921914469,9.82603535021891,5.565065195929606
D1_estimated_incidence,6.2252629370941275,10.904413450796829,11.268179336367087,10.35946756931759,9.811355851243682,5.565065195929606
D2_sample_abundance,5.6576340426290965,8.552614586129124,8.18421418292712,7.128418126038263,6.303721530613676,3.8385220653862913
D2_sample_incidence,5.616932367840614,8.545949812073356,8.178873721187172,7.124508296946918,6.30068273101548,3.8385220653862913
D2_estimated_abundance,5.657680975598708,8.552705330366274,8.184333035679076,7.128525310284266,6.303823693504377,3.8385945266999197
D2_estimated_incidence,5.6169146518840725,8.545938786656498,8.178900200432258,7.124538107360468,6.300720264920636,3.8385689990379745
completeness_abundance,1.0,0.9831932773109244,0.8271266170129361,0.7880184331797235,0.7283830862763849,0.5888496011841132
completeness_incidence,1.0,0.9831932773109244,0.8271266170129361,0.7880184331797235,0.7283830862763849,0.5888496011841132
coverage_abundance,1.0,0.9999943807834031,0.9999151026266788,0.9997742807652877,0.9995691510505177,0.9993349764734809
coverage_incidence,1.0,0.9999943785658902,0.9999150751913056,0.9997742196705651,0.9995690483595709,0.9993349764734809
l90_abundance,0.0,0.0,284341.18185108225,306230.4858731978,377932.6432823685,342889.4132350022
l95_abundance,0.0,0.0,644396.2768487912,588746.8794617227,640099.4287718495,510999.96410725836
l99_abundance,0.0,123194.32228901424,1480418.3176313108,1244729.6310011756,1248831.8535461847,901340.5752245417
l90_incidence,0.0,0.0,86425.29809803926,112976.19848688152,173651.65815089954,342886.8900690805
l95_incidence,0.0,0.0,195864.88548440972,217204.39345292503,294112.0590155465,510996.6695364958
l99_incidence,0.0,26023.486381101047,449975.73812970414,459214.767623979,573812.4481045646,901335.4895072032
