,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
Q1_abundance,0.0,17.0,117.0,389.0,892.0,784.0
Q1_incidence,0.0,17.0,117.0,390.0,893.0,784.0
Q2_abundance,0.0,5.0,54.0,136.0,292.0,35.0
Q2_incidence,0.0,5.0,54.0,136.0,292.0,35.0
observed_species_count,16.0,135.0,471.0,1079.0,1997.0,846.0
chao2_abundance,16.0,163.9,597.75,1635.327205882353,3359.4383561643835,9626.8
chao2_incidence,16.0,163.9,597.75,1638.1911764705883,3362.4948630136987,9626.8
D1_sample_abundance,9.435892034037044,39.47138678955688,119.25256299999782,314.2011659356041,693.1414597467871,645.3939129696879
D1_sample_incidence,11.515482181993722,45.68237305400126,126.72577586150175,324.2469178197723,707.5155860717878,645.3939129696879
D1_estimated_abundance,9.440559585295784,39.63946210038359,121.21873261400187,327.38393834620354,753.2079086283876,1024.2675884839605
D1_estimated_incidence,11.519633706976029,45.90011935050948,128.98700100434604,338.58225454196213,771.0094396281773,1024.2675884839605
D2_sample_abundance,7.5292038357447675,23.832784870572738,59.342383080794114,127.68706637560015,304.6422865343058,281.10657827639585
D2_sample_incidence,10.793513946418843,29.615193386523085,59.93217343291098,127.22145594366512,306.0461166494546,281.10657827639585
D2_estimated_abundance,7.5324366507235645,23.866292459663928,59.57083931742723,128.8424080160486,311.86431160011756,383.5132311977716
D2_estimated_incidence,10.785103261067375,29.62474621885251,60.080382623051044,128.20643680567,313.0559330204024,383.14798050139274
completeness_abundance,1.0,0.823672971323978,0.7879548306148055,0.6598067934776499,0.5944446030199112,0.08787966925665851
completeness_incidence,1.0,0.823672971323978,0.7879548306148055,0.6586532850974443,0.593904253049223,0.08787966925665851
coverage_abundance,1.0,0.9989547844853948,0.9923101813304029,0.972469336230117,0.931979298187252,0.2533968805142782
coverage_incidence,1.0,0.9987230969146111,0.9914841454563074,0.9706763315240963,0.9292777853893073,0.2533968805142782
l90_abundance,0.0,15681.575491084388,12388.226034748115,24739.75594835347,28042.012738993504,25996.6764269701
l95_abundance,0.0,34846.26325695017,23812.56234020702,38745.86758069588,41924.891453008626,34148.08727035504
l99_abundance,0.0,79345.29021025813,50339.04977329379,71267.05167996045,74159.93757699413,53075.07712058006
l90_incidence,0.0,1010.3180934654159,853.6859562888131,1846.2724029362726,2247.7185756925983,25972.038719760243
l95_incidence,0.0,2246.7540017665838,1641.7364875143128,2889.1683610727346,3359.8981157146113,34116.032883400134
l99_incidence,0.0,5117.669274778636,3471.533156157711,5310.697786314254,5942.299036250639,53025.80173655445
