,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Q1_abundance,0.0,0.0,467.0,32103.0,982610.0,5000.0
Q1_incidence,0.0,0.0,467.0,32103.0,982709.0,5000.0
Q2_abundance,0.0,0.0,453.0,10615.0,606850.0,0.0
Q2_incidence,0.0,0.0,453.0,10615.0,606957.0,0.0
total_species_count_abundance,5000000.0,5005000.0,5000000.0,4995000.0,4990000.0,5000.0
total_species_count_incidence,115000.0,1796238.0,4654874.0,4975777.0,4989016.0,5000.0
dag,0.977,0.6411112887112886,0.06902520000000001,0.0038484484484484494,0.00019719438877752182,0.0
observed_species_count,24.0,599.0,13267.0,205746.0,2305260.0,5000.0
chao2_abundance,24.0,599.0,13507.71633554084,254290.6353744701,3100779.8254099037,12502500.0
chao2_abundance_stddev,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
chao2_incidence,24.0,599.0,13507.71633554084,254290.6353744701,3100799.864175716,12502500.0
completeness_abundance,1.0,1.0,0.9821793462668832,0.809097825002549,0.7434452395197905,0.0003999200159968006
completeness_incidence,1.0,1.0,0.9821793462668832,0.809097825002549,0.7434404350416876,0.0003999200159968006
coverage_abundance,1.0,1.0,0.99990660003624,0.993572973823874,0.8030842170794472,0.0
coverage_incidence,1.0,1.0,0.9998997139699032,0.9935489967270712,0.8030741475626626,0.0
l80_abundance,0.0,0.0,0.0,0.0,1006034.5937548501,0.0
l90_abundance,0.0,0.0,0.0,4883832.165760073,3806278.3293889766,0.0
l95_abundance,0.0,0.0,0.0,10119313.04978701,6606522.065023099,0.0
l99_abundance,0.0,0.0,1489072.8334140512,22275723.2046549,13108486.667324318,0.0
l80_incidence,0.0,0.0,0.0,0.0,1007.3713658937286,0.0
l90_incidence,0.0,0.0,0.0,4886.842969502479,3812.8002468028853,0.0
l95_incidence,0.0,0.0,0.0,10126.862996763351,6618.22912771204,0.0
l99_incidence,0.0,0.0,1488.5575713414235,22293.812715832817,13132.233264503446,0.0
