,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
Q1_abundance,0.0,21.0,104.0,260.0,502.0,449.0
Q1_incidence,0.0,21.0,104.0,261.0,503.0,449.0
Q2_abundance,0.0,7.0,41.0,110.0,180.0,43.0
Q2_incidence,0.0,7.0,41.0,110.0,181.0,43.0
observed_species_count,17.0,125.0,360.0,699.0,1118.0,552.0
chao2_abundance,17.0,156.5,491.9024390243902,1006.2727272727273,1818.011111111111,2896.1976744186045
chao2_incidence,17.0,156.5,491.9024390243902,1008.6409090909091,1816.9198895027625,2896.1976744186045
D1_sample_abundance,7.168301550346563,32.10916646928532,86.63072816195928,204.86796977366967,392.23809600127123,293.03799673557756
D1_sample_incidence,10.309447158444453,41.323040407086374,99.25232515405641,226.47666080056044,416.1362986239705,293.03799673557756
D1_estimated_abundance,7.175234275529565,32.33325058379,88.66490623081229,215.89933159080144,432.1764394664751,394.76562499833193
D1_estimated_incidence,10.323985202372212,41.69245011594833,102.01268121954105,240.21176090601244,462.1093257000135,394.76562499833193
D2_sample_abundance,4.934325322592771,17.458812243879503,47.6492986336277,94.90130728159859,138.6394241510252,121.36723910171942
D2_sample_incidence,8.211956412803557,27.261656303749817,56.84397295831937,108.79888043818897,139.12644359874508,121.36723910171942
D2_estimated_abundance,4.9366628406603,17.489795050134376,47.92012979980055,96.1549979240191,141.73550303038957,137.09858103061987
D2_estimated_incidence,8.211220445294398,27.316967683569455,57.208141047757316,110.47720132681633,142.26712787041203,136.96801095344784
completeness_abundance,1.0,0.7987220447284346,0.7318524395081317,0.694642695817147,0.6149577376987062,0.19059472524119436
completeness_incidence,1.0,0.7987220447284346,0.7318524395081317,0.6930117484824314,0.6153270743851913,0.19059472524119436
coverage_abundance,1.0,0.9977401535435275,0.9874027781500021,0.9639081693019219,0.9203518132793554,0.5724590170231421
coverage_incidence,1.0,0.9969785974038989,0.9849038511003397,0.9590916949271524,0.9135142556727963,0.5724590170231421
l90_abundance,0.0,9749.86277284754,10327.024444783914,9502.761479070079,11847.546836112702,11463.523635132527
l95_abundance,0.0,19410.948175492038,17584.10636495859,15403.27137365668,17938.77792780204,15263.34035926027
l99_abundance,0.0,41843.29379899854,34434.52876231132,29103.8310720582,32082.178532046953,24086.24156643535
l90_incidence,0.0,1099.841129065908,1311.866364673967,1395.613522698058,1963.5154622252562,11452.656444331433
l95_incidence,0.0,2190.8547545695283,2234.402953527697,2258.5785654306505,2974.1852845454855,15249.200858432929
l99_incidence,0.0,4724.109943531314,4376.466577748724,4262.321343057132,5320.8879396456405,24064.503997022864
