,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
Q1_abundance,1.0,8.0,58.0,157.0,273.0,180.0
Q1_incidence,1.0,8.0,58.0,157.0,273.0,180.0
Q2_abundance,0.0,1.0,21.0,57.0,94.0,37.0
Q2_incidence,0.0,1.0,21.0,57.0,94.0,37.0
observed_species_count,11.0,87.0,259.0,476.0,671.0,298.0
chao2_abundance,11.0,119.0,339.0952380952381,692.219298245614,1067.4308510638298,735.8378378378378
chao2_incidence,11.0,119.0,339.0952380952381,692.219298245614,1067.4308510638298,735.8378378378378
D1_sample_abundance,9.186303437686156,30.092161043531284,68.83053089060952,135.24181076502055,219.5495844853622,133.90500305641325
D1_sample_incidence,9.194060608599122,30.10197682120746,68.83820392883379,135.24181076502055,219.5495844853622,133.90500305641325
D1_estimated_abundance,9.191836694948904,30.232184749207946,69.94795773400274,140.00660244832386,232.51919932932375,156.70648253482918
D1_estimated_incidence,9.19582808524467,30.229494758824856,69.92712708787776,139.94945819475694,232.4268407014019,156.70648253482918
D2_sample_abundance,8.960921643663777,18.965085273631786,29.159219680126288,48.894450076026324,105.35773973340903,67.53031973539186
D2_sample_incidence,8.97219607424891,18.949922228455964,29.147219334772473,48.894450076026324,105.35773973340908,67.53031973539186
D2_estimated_abundance,8.96938792235022,19.00107810243832,29.25690186256729,49.215192295427,107.12380580697243,72.10329929300865
D2_estimated_incidence,8.96475168739248,18.951775745781017,29.192650588481186,49.12817781746285,106.93674859979681,72.03462948415816
completeness_abundance,1.0,0.7310924369747899,0.7637972194916445,0.6876433540734733,0.6286121478794281,0.40498053331374423
completeness_incidence,1.0,0.7310924369747899,0.7637972194916445,0.6876433540734733,0.6286121478794281,0.40498053331374423
coverage_abundance,0.9998814463544754,0.9991565852267713,0.993124478887488,0.978641566092798,0.9568835407694375,0.8286385864180817
coverage_incidence,0.9998801821231728,0.9991552499074167,0.9931253719027153,0.9786542312593304,0.9569071395873612,0.8286385864180817
l90_abundance,0.0,37530.1532517643,10011.98116904785,11529.129075841134,12062.472951386639,4554.9611342007765
l95_abundance,0.0,63828.15728220859,18085.990577270266,18545.420207482777,18434.866251568164,6325.29650076604
l99_abundance,0.0,124890.23167995836,36833.25986060681,34836.74370795059,33231.10528693167,10435.887925766647
l90_incidence,0.0,4148.243600863856,1244.4927161284181,1645.0722375039215,1998.405905825064,4550.529639051694
l95_incidence,0.0,7057.035730319094,2248.9454584210557,2646.791478212558,3054.611006014571,6319.525522891993
l99_incidence,0.0,13811.041897888448,4581.212500736985,4972.7115264031645,5507.043302107902,10427.006765320903
